hash,NF,ENTROPY,LA,LD,LT,FIX,NBR,RELATIVE_CHURN,RELATIVE_LT,is_buggy
38bd71134a428d641d8ca34b3ea94358a387703d,28,0.831491658042697,2571,0,0,0,0,2571.0,0.0,1
2ac80e77aa6cb35a8383b331d670f538586eabfb,3,0.5139913248872143,92,0,1251,0,0,0.07354116706634692,417.0,0
ad06e76f9f2a3d72ac2d4c801cbedb14193261dc,1,0.0,151,0,0,0,0,151.0,0.0,1
fa70d302482a613a3888253120b16fd3ba2f9c19,1,0.0,33,8,151,0,0,0.271523178807947,151.0,0
d4258bafeff13e4a2e0f67174affd1ca2da71bc6,10,0.8377084751838719,368,334,1688,0,0,0.4158767772511848,168.8,1
43398a854859ba9df3bc7cd1d7c135a18e066d75,6,0.7614296640328366,76,25,1293,0,0,0.07811291569992268,215.5,0
71867830f531aeefe2a095773fd4f0ef977b9f43,2,0.3108107175963081,188,170,677,0,0,0.5288035450516987,338.5,1
a576e6a8ca5f22f9f9d5f149929637c3337ad086,16,0.5762607535399366,208,92,1956,0,0,0.15337423312883436,122.25,1
281aa0e668fe7c1b6185ccd981d9ab949035bbaa,11,0.7285802752905819,193,117,1993,0,0,0.1555444054189664,181.1818181818182,1
efd9e987f52e33d83ef1da5c70bedcf13a8f96b0,1,0.0,1,1,676,0,0,0.002958579881656805,676.0,0
f5fae929a39b0f0894fcf14bdcfe0d90ce7e55f3,5,0.5207631707872253,110,40,1269,0,0,0.1182033096926714,253.8,0
328aa14e0af07ee78fcbce5eaaccfb38b53daed1,4,0.8288713632524444,18,18,1260,0,0,0.028571428571428567,315.0,0
7b8e032c26eafaf32935ce604239c962abd17e83,3,0.7954584372331485,12,5,593,0,0,0.028667790893760536,197.66666666666663,0
a9ee25a97e94e6a41b173016727215cc045bc52b,2,0.8112781244591328,5,3,511,0,0,0.015655577299412915,255.5,0
bce10fae3813cfd1bd447f9ed7c29853b61aae8b,1,0.0,3,3,481,0,0,0.012474012474012476,481.0,0
a7500317956457497c9d97e22276863554e2e3ad,1,0.0,1,1,676,0,0,0.002958579881656805,676.0,0
2b0339f44e248f22ae274f6b8290a30ea6e6d064,1,0.0,2,3,676,1,0,0.007396449704142011,676.0,0
570822102c037600781da816d1a083db031c8cde,18,0.5009895867647283,131,39,2164,0,0,0.07855822550831792,120.22222222222223,1
5116b02e6806f7b9a025597c896d3928ed3a891e,2,0.7642045065086203,6,3,788,1,0,0.011421319796954314,394.0,1
38ffb5232f3fc83b5aeff46b38ebc762fe392e0a,1,0.0,2,0,32,0,0,0.0625,32.0,0
73a50a04410db0168af937152793d7f107e18f10,3,0.9463946303571862,14,2,178,1,0,0.0898876404494382,59.33333333333334,0
5257330e6add34a2139d0999520fe3f45df949e4,1,0.0,2,2,706,0,0,0.0056657223796034,706.0,0
96c10530aa506341863c1acf9660a1e4551f340d,2,0.21084230031853213,30,0,388,0,0,0.07731958762886597,194.0,0
04358b02ed7934b271aa3e26ce44ab255dfa9197,1,0.0,1,2,706,0,0,0.00424929178470255,706.0,0
6918922332a46eda4732cb15cec0fbcd8c5dd30d,1,0.0,1,0,739,0,0,0.0013531799729364006,739.0,0
6a32620db3d31b18d272a2f0f3d704dab02000bb,1,0.0,7,0,339,0,0,0.02064896755162242,339.0,0
edbdef7ccf88df9632ad9e31884da347d1d3cd7c,1,0.0,1,1,520,0,0,0.003846153846153847,520.0,0
2cf192f578de4f8f683602f92b6c1e2b9bdf8b46,1,0.0,5,5,45,0,0,0.2222222222222222,45.0,0
b3ee3eaf813392372dece26b870261afaaa967a6,1,0.0,24,17,740,0,0,0.055405405405405415,740.0,0
d2a902bd45d140345d72aa525a7ec4740d3eeab9,1,0.0,2,2,747,0,0,0.00535475234270415,747.0,0
8456a4dca28a0c467b9c85fe67bc4cdd200341b8,1,0.0,1,1,747,0,0,0.002677376171352075,747.0,0
19208fe9a4e27e38dfc17456e411e38f53de5f2c,3,0.7434272721610411,28,1,834,0,0,0.034772182254196635,278.0,0
b50872acf2486ac684d9186f6e380c5d014204e2,4,0.5700338813359287,17,17,332,0,0,0.10240963855421686,83.0,0
db028d685cb78a71b299a98efe762b614a8b26da,3,0.9656336071428248,8,1,811,0,0,0.011097410604192354,270.3333333333333,0
8f4eb006901553ccfa010b75660f979ab1ef31a4,2,0.8631205685666309,2,5,58,0,0,0.1206896551724138,29.0,1
929fd7e6946255ed84c803d2993f48912de96e15,1,0.0,59,0,0,0,0,59.0,0.0,1
b456ec789d4ba094ed58294e3462b7bf10d51fcb,1,0.0,1,0,59,0,0,0.01694915254237288,59.0,0
b1b714023a5ece9436c135a11c19837804d9f099,12,0.7584762809193315,105,105,2270,0,0,0.09251101321585904,189.16666666666663,0
0fb8528edfc9e81a189d88f69f1ced8c41b63927,1,0.0,53,52,500,0,0,0.21,500.0,1
ad7bc01d516c39829238a4a2b4db7d8f8a30a8f9,1,0.0,2,2,501,1,0,0.007984031936127744,501.0,0
fa1bfb2ec7654b7ea6e8419967174e3b6c35698c,1,0.0,12,2,501,0,0,0.0279441117764471,501.0,0
5db63fb746259c9e101b5b19a26f39d98716fa9c,1,0.0,1,1,110,0,0,0.01818181818181818,110.0,0
54289302bc821e69ff7b8079fb412dcd410d9b65,1,0.0,4,7,756,0,0,0.01455026455026455,756.0,0
723bc65b27292bb214f91725e9fc5b2ab2fc85e0,1,0.0,4,0,511,1,0,0.007827788649706456,511.0,0
333e889ef2fdc22fece30512961b2b7f2da02570,5,0.7762009957750443,101,18,1061,0,0,0.11215834118755892,212.2,1
3ee91b2f0aa24480bd215c0dbd1b8917d89c7e0f,2,0.9182958340544896,3,3,472,0,0,0.012711864406779662,236.0,0
eb7c0b82ec21e1d63019f170fee3315d7058d9dd,2,0.5746356978376794,13,9,395,0,0,0.05569620253164557,197.5,0
4ee0f2a19e223bccb59054fcd7d976e06bc3f7fc,1,0.0,1,0,366,0,0,0.00273224043715847,366.0,0
7f8d1c20f19deff1f1a43d324fd58e456926c140,2,0.9828586897127056,33,19,893,0,0,0.05823068309070549,446.5,0
60c36db1c95438009f0f3fb2ec2281bdbc11bbba,2,0.9573931988440294,96,57,907,0,0,0.16868798235942667,453.5,1
