hash,NF,ENTROPY,LA,LD,LT,FIX,NBR,RELATIVE_CHURN,RELATIVE_LT,is_buggy
7f65140761947af4ed7f9dfc11adee8c86c9e4c2,1,0.0,1,1,93,1,0,0.021505376344086027,93.0,0
3ed27b95cefdbbb14a29079d62178e0228de2c95,1,0.0,7,0,18,0,0,0.3888888888888889,18.0,1
50f343b4581a79aca21846546395b6e534b5f86a,1,0.0,14,1,25,1,0,0.6,25.0,0
9b2207c14eb6f3ce3947328b9b708cb393e581db,3,0.7174150048020589,693,0,0,0,0,693.0,0.0,1
712b7971bdddd72cdaeecccfb82d5f8fd62e23ac,4,0.9211854965885544,7,7,1818,0,0,0.0077007700770077014,454.5,1
957fe99f41748b80c3108447e5dd5ce2be962f4e,1,0.0,7,0,143,0,0,0.04895104895104895,143.0,0
f05c358509e705f11386be574d6b1841a1482a4c,1,0.0,6,0,150,0,0,0.04,150.0,0
99b75ab51dd82883f235deadb2ce1965eea8a2b0,2,0.9999991818867228,470,469,574,0,0,1.6358885017421605,287.0,0
04cf94886aa749b3bc4233762db517336776b1fa,1,0.0,2,2,1583,0,0,0.0025268477574226147,1583.0,0
9c1c63cd265e0bfc0cba38bd50abb0d550d9e6a3,1,0.0,149,0,0,0,0,149.0,0.0,0
28ec9a32952e0d7443936f8d5ae5d675ba6cf65c,1,0.0,5,0,156,0,0,0.03205128205128205,156.0,0
3b0a1c9cfa607840519e49e8589815c25078c3df,1,0.0,9,9,126,0,0,0.14285714285714285,126.0,1
8f4c8163775d665d80642044ce27c4bc696127ce,2,0.9927744539878084,28,32,67,0,0,0.8955223880597015,33.5,0
bef8b56dc953e1a8215affa53304836589dcd475,1,0.0,1,0,161,1,0,0.006211180124223602,161.0,0
ef964344a8d96fe40a47911b08f00d45ad7dd982,6,0.983566009043177,10,14,977,0,0,0.02456499488229273,162.83333333333334,0
0781d10b9d69135a7c1f614d2f1a3b02434427e3,1,0.0,0,1,162,0,0,0.006172839506172839,162.0,0
2428e4631ff2c0aa493b50919b12b1050c6f2624,1,0.0,0,126,126,1,0,1.0,126.0,0
098333c9126c4df2370b3d08f8800bb5e3d82f1e,1,0.0,1,0,149,0,0,0.006711409395973154,149.0,0
94c9f9965b4e39bab9fdec6f71f1fad320e96d8b,1,0.0,6,1,694,1,0,0.010086455331412105,694.0,0
