hash,NF,ENTROPY,LA,LD,LT,FIX,NBR,RELATIVE_CHURN,RELATIVE_LT,is_buggy
be75254b61ed2112c69ae9f210fe75aa25ab0557,1,0.0,2,0,0,0,0,2.0,0.0,0
b8b052bcbf45122fcb8ba9f2735e38a833c6d7e3,7,0.93061455554159,310,0,0,0,0,310.0,0.0,0
7f7c6ee6174fb83b86144c67f47e5c5bb059226c,3,0.8639255259966854,34,50,50,0,0,1.68,16.666666666666668,1
c05dddcac4e984c787b2766f6a4d9a2bf3d649ba,8,0.7443522756596529,68,122,184,0,0,1.0326086956521738,23.0,1
b73bb48463b36cb42c8d5dd32ac36e368b31f3c9,2,0.9293636260137188,0,116,116,0,0,1.0,58.0,0
3317180ad9b8db970728bc4a18c2a7ae7e652000,1,0.0,37,0,0,0,0,37.0,0.0,0
e4e2178fc6e52087ad351a4488e18df77800c026,1,0.0,21,13,37,0,0,0.9189189189189191,37.0,0
3674aefb2cad80826489f1efa0b83118a8ab1fb3,3,0.3752440360561263,80,3,71,0,0,1.1690140845070425,23.66666666666667,0
12b1c97cf498926208e79ae61da563b5b5516e25,5,0.9283832117695864,8,8,222,0,0,0.07207207207207207,44.4,0
3a76b8d720165db3d6b8a91b4f33cfe1d27e8111,1,0.0,2,1,47,0,0,0.06382978723404255,47.0,0
be5bf08d563ffbebe3f8b8fd6d2b1f57d97316cc,9,0.8488900704653529,138,112,216,0,0,1.1574074074074074,24.0,1
9c214c844720ed164b19b99b974c7cd7c7747f6b,1,0.0,3,2,44,0,0,0.11363636363636365,44.0,0
7a1296d5273cb7d013ead7e615ce0ffa552958ad,1,0.0,0,1,45,0,0,0.022222222222222227,45.0,0
4d175e439e03634e1c8b4847ec39171abd468a82,1,0.0,7,0,35,0,0,0.2,35.0,0
d4c1310190c30b985c97754d2c8d5ea068ff89e8,1,0.0,1,1,73,0,0,0.0273972602739726,73.0,0
4c3a9b60b7f52081e1f5e50d6adde8716c1445a7,4,0.441521590867307,71,4,69,0,0,1.0869565217391304,17.25,1
b55212f1a6c84320e6b8bde7e3834fcb3f7e1a46,10,0.7620745882427348,137,27,312,0,0,0.5256410256410257,31.2,1
c7482d123d012dfc75f4b906d0415a44fdb22ffd,5,0.8013792420524629,43,18,235,0,0,0.2595744680851064,47.0,1
b0e41fd24e27d411d0ae4f3a62eba9a137c83bf1,4,0.43239869120214347,126,6,161,0,0,0.8198757763975155,40.25,1
0e30f9b5d4fff3514473bbbff0291983d5131af4,3,1.0,0,3,184,0,0,0.016304347826086956,61.33333333333334,0
9947f970c8a6eddc9abef70d994708f55df5ab0b,2,0.7732266742876346,12,10,79,0,0,0.27848101265822783,39.5,1
ca89d4c16a1d538971bd14885ab513270ca0b962,2,0.9795438195294626,82,43,163,0,0,0.7668711656441718,81.5,1
438ab2b0297f2c36ab3e11c9d5bde7da555cc0cb,3,0.7861409634596684,234,0,0,0,0,234.0,0.0,1
