hash,NF,ENTROPY,LA,LD,LT,FIX,NBR,RELATIVE_CHURN,RELATIVE_LT,is_buggy
2c2835d926af8b5abb316617eddcded03cb8e9c6,1,0.0,42,5,65,0,0,0.7230769230769231,65.0,0
2454e564daa2206c23ee173318d6095b51dfa8aa,1,0.0,9,5,102,0,0,0.13725490196078433,102.0,0
0c6e363125263335f67ae37d574cef9ce0df6cc7,1,0.0,1,1,106,0,0,0.018867924528301886,106.0,0
d10d33dc472394eed9e87439408b28dc39ec3842,1,0.0,36,0,106,0,0,0.33962264150943394,106.0,0
6980d54b811fc66af56f1c686bf124d22cd3c3d4,1,0.0,4,0,142,0,0,0.028169014084507043,142.0,0
0818debf7babc2939eb4417f2f0ca409742bd09a,1,0.0,47,0,146,0,0,0.3219178082191781,146.0,0
0f344831fbdbbc3f448517de0e3a887b2d3a504e,1,0.0,24,3,193,0,0,0.13989637305699482,193.0,0
ccd0d265ec20a53cdf7b13444fb3291e6be93305,1,0.0,116,1,214,0,0,0.5467289719626168,214.0,0
0fb7308df56a8883cb0e287f1eded83579ce1787,1,0.0,1,0,329,0,0,0.00303951367781155,329.0,0
3a8ea63eac4034d40155036d27b5dbd00260764d,1,0.0,1,1,330,0,0,0.006060606060606061,330.0,0
c6d88aa39d646910bd278a2887c3fe574e825da4,2,0.9798687566511528,11,1,333,0,0,0.036036036036036036,166.5,0
daedfc0041a3f72f59be03e654f0f8b3dfd6cad6,1,0.0,46,4,333,0,0,0.15015015015015015,333.0,0
b4d5a02e0e54c048dc158a593b89d5240fe77eeb,1,0.0,8,3,375,0,0,0.029333333333333333,375.0,0
c205eb3f164ac0ce3566ff23e7d5631cb6ea0e89,2,0.6722948170756379,30,4,380,0,0,0.08947368421052633,190.0,0
fb0ad5f77bcd689b2cdbdf8920f3dae1f5abc5d2,1,0.0,2,2,242,0,0,0.016528925619834708,242.0,0
7f3c240986d883541a87797a4829f479a9e8da7f,1,0.0,12,6,242,0,0,0.0743801652892562,242.0,0
09ccc197cbae208cc586321520bf9726e8c33dab,1,0.0,50,1,248,0,0,0.2056451612903226,248.0,0
27b925a2efb51c4998d1d1a71690257a7ee830eb,2,0.9666186325481028,27,1,307,0,0,0.09120521172638436,153.5,0
72204eaa2c8515185c295e97b813730117b54a7f,1,0.0,18,0,312,0,0,0.0576923076923077,312.0,0
5ce0da16cad9d658738b4ccac3bd20eae067fdcf,1,0.0,33,4,330,0,0,0.11212121212121212,330.0,0
f4c7f41b64a6afd22ad521f421881e53464230ef,2,0.999643749677856,41,4,523,0,0,0.08604206500956023,261.5,0
fe4ccebb4cfff57a93f5d1ae027e751100193eec,1,0.0,156,114,183,0,0,1.475409836065574,183.0,0
3af3511a665891e2d9d04e683d6603a93e5cb9c7,2,1.0,49,49,377,0,0,0.25994694960212195,188.5,1
ac1b574e38a8cb77b73c5a3db1e8ccfddd0ce9e3,1,0.0,1,1,328,0,0,0.006097560975609756,328.0,0
1998243378fa61c0a24417d5d0751a8be1a90d7e,1,0.0,22,15,328,0,0,0.11280487804878048,328.0,0
54741dc29e33214c69a06af6ef8717893960a7bf,1,0.0,32,28,335,0,0,0.1791044776119403,335.0,0
a01dd9d21b98f29d120d1ed138da4a4caf91c65f,1,0.0,1,1,339,0,0,0.005899705014749263,339.0,0
cd6c9e0f9e69e026c875c710a10ce91436c34342,2,0.5032583347756457,7,2,367,0,0,0.02452316076294278,183.5,0
5178693db324229b39d5d514c02c2de219eac736,2,0.9910760598382222,6,3,372,1,0,0.024193548387096774,186.0,0
9e030fa6f007727d993e0ad5e25c7e754e8220f5,2,0.5032583347756457,4,5,375,0,0,0.024,187.5,0
27046cb3baca11de5fe369df84d552ab963ccc69,1,0.0,33,6,22,0,0,1.7727272727272727,22.0,1
5b94928d5c57d4bf54453953d19fbfc25e9936ba,2,0.6500224216483541,4,8,274,0,0,0.043795620437956206,137.0,0
d379db40db6ed9a60696d3ae205641ff1c1d5225,1,0.0,13,2,221,0,0,0.06787330316742081,221.0,0
d4e4c943f4e986ea2cc615a07d88a4aa5aef0797,1,0.0,5,0,232,0,0,0.02155172413793104,232.0,0
3e4f03f1329d3af98fa708778fece9b5f847febb,2,0.9927744539878084,12,8,589,0,0,0.03395585738539898,294.5,0
cee9fc7c2fc56c99d69078f0be956935b9b8d695,1,0.0,2,1,49,0,0,0.061224489795918366,49.0,0
94f2fd0acff696458a0e08727e11060a5e02ea5a,1,0.0,28,13,355,0,0,0.11549295774647887,355.0,0
019d71a0027a421f9473cb96db38c503a895bdb7,1,0.0,11,1,370,0,0,0.032432432432432434,370.0,0
bade0e3035d0b8e2f5c2cb37eac62dc0a30e675a,1,0.0,6,2,49,1,0,0.16326530612244894,49.0,0
4dda793603766e549c2b3e586cb9e76485493798,1,0.0,2,0,380,0,0,0.005263157894736842,380.0,0
bffbe62ad4392cc243716831b3ca5e45727c30c3,1,0.0,0,1,53,0,0,0.018867924528301886,53.0,0
dfbe5b0bf13768c89006aeb1c63972d27a8d559f,1,0.0,15,3,238,0,0,0.07563025210084033,238.0,0
5a9abdeae0766800b7a9783554d551f191d1a4eb,1,0.0,17,16,382,0,0,0.08638743455497383,382.0,0
4e452a1966ebaa56fdbef4612e81e5803e7d866e,1,0.0,34,0,383,0,0,0.08877284595300261,383.0,0
078774f7316b6afbd67b3b7b8986fae419fbc471,1,0.0,124,70,250,0,0,0.7759999999999999,250.0,0
