hash,NF,ENTROPY,LA,LD,LT,FIX,NBR,RELATIVE_CHURN,RELATIVE_LT,is_buggy
d9a61b1a6979ebbba2e5b999f3c434e1ff133177,1,0.0,881,0,0,0,0,881.0,0.0,0
8b673cc65bd1aedc1f583d080037b71da4898e20,1,0.0,534,129,881,0,0,0.7525539160045402,881.0,0
463dad3ccdb4d6f6546a4d6ce2efba8c1852253b,1,0.0,498,96,1286,0,0,0.4618973561430793,1286.0,0
6c244d5a8e19666ab9c324f33c44154256fe0c38,1,0.0,104,11,1688,0,0,0.06812796208530805,1688.0,0
f7367393d1d147a4cab4fc2be42dc599f0ace4fd,1,0.0,3,1,1781,0,0,0.0022459292532285235,1781.0,0
7c57082f3a523e6b8fa91d1ec93bc7bbc056a897,1,0.0,0,1783,1783,0,0,1.0,1783.0,0
337aeac06f968dbc83cf6dc98ac61bcd047a4c2b,6,0.8529522900219213,1774,0,0,0,0,1774.0,0.0,1
92349be815479f71de977240b84e1b218b5978af,1,0.0,8,0,0,0,0,8.0,0.0,0
6542ebf0b1c79d5da359339f268f1e414511ef94,1,0.0,219,269,297,0,0,1.6430976430976432,297.0,1
a1c354c8d74029792c4a80cb0c4c09a5de0a89cf,1,0.0,108,0,0,0,0,108.0,0.0,1
a72d9d638d56e1f71be7127dd18f972f2414ca54,1,0.0,244,89,247,0,0,1.3481781376518218,247.0,1
02bd82dc9eb2c80f31f40148e8457c035a65217f,1,0.0,14,0,149,0,0,0.09395973154362416,149.0,0
23784139a9871e0e28f00aeeb7a991dd5a679f13,1,0.0,163,31,108,0,0,1.7962962962962965,108.0,1
3289ded084441940e8f45531a98614fe224c2100,1,0.0,3,2,402,0,0,0.01243781094527363,402.0,0
16e6c7c7d6c87ed97f6518e23e8999e6f2a2c0fc,1,0.0,10,11,163,1,0,0.12883435582822084,163.0,0
d9c62a1e35da7f41d7b7d7847645d3742e58da7d,1,0.0,16,6,403,0,0,0.05459057071960298,403.0,1
1cee098ed06dad1f7e56d317bb44896f37d5839a,1,0.0,191,24,240,0,0,0.8958333333333334,240.0,1
bbf9ad4a46e06e8afd358d23cf082ec1c93d7a33,1,0.0,55,78,127,0,0,1.0472440944881891,127.0,0
85e6c32de0a10dc76b746ef658092971c8301513,1,0.0,72,56,162,0,0,0.7901234567901234,162.0,0
d94274e878c44557c94225071dc29bac621eb332,4,0.6696927813681471,474,506,1614,0,0,0.6071871127633209,403.5,1
16265362098f7339364a73ab171d48a54c34cac4,1,0.0,20,3,407,1,0,0.056511056511056514,407.0,1
12d5b6c62266172b0b1b9417ff02a3e7d9dde1b7,1,0.0,9,0,104,0,0,0.08653846153846154,104.0,0
4e69010dd2522f2c93afb59016cc02f26da3bd20,1,0.0,63,0,0,0,0,63.0,0.0,0
428b78fa84d507d92936f379add38a69ed26bdb0,1,0.0,4,3,8,0,0,0.875,8.0,0
731a32656348e99cbdd0fec3b7e08cd03350f8b9,1,0.0,0,63,63,0,0,1.0,63.0,0
a7d3354e2384f9fa607e8dc62fcdba17d91b6429,1,0.0,1,1,113,0,0,0.017699115044247787,113.0,0
713c9f60fb3e93629672cb71b7f98ad5f9e2287a,2,0.9861260846302384,182,143,582,1,0,0.5584192439862543,291.0,1
d58c8d5f94a0aeb812655eddd0acb11ddb41c16e,1,0.0,6,6,424,1,0,0.02830188679245283,424.0,0
ca3be76c801f87e27a9c8abfce20d613e90c5d05,2,0.9182958340544896,6,6,621,1,0,0.01932367149758454,310.5,0
9af123b86381bc93c2b98f372348f2839ba90541,2,0.9940302114769564,22,0,424,0,0,0.051886792452830184,212.0,0
a04d69248cb6d62caabfb934eae0e2a719d17e4a,1,0.0,1,1,260,1,0,0.007692307692307694,260.0,0
838ea81bc0014504d113ca1a14d90f833d974dcf,2,0.961236604722876,24,15,797,0,0,0.04893350062735257,398.5,1
aacc9a53e566734bb96e56aae5680499355552c8,1,0.0,21,7,348,1,0,0.08045977011494253,348.0,1
eaba552bc247c961d329182d565a8eaa9b37a473,1,0.0,4,5,807,1,0,0.011152416356877323,807.0,0
46b7d461d77b6dd1d595f55470e24ce01adcc87c,1,0.0,41,17,362,0,0,0.16022099447513813,362.0,1
3d9b1354408aa127f081602614a64202e9114e83,1,0.0,94,88,458,1,0,0.39737991266375533,458.0,0
62769332958297955959937782a8de6f9f48a7bc,1,0.0,10,11,386,0,0,0.054404145077720206,386.0,0
6ac01e908f041e357048130357c3e218389c9a7c,1,0.0,60,43,193,0,0,0.533678756476684,193.0,0
ee4371c5ea9628df5e74c37ad812afdd5585042f,1,0.0,108,50,806,0,0,0.196029776674938,806.0,0
ae5a520ba7cce9b8cd19d6c2229c266b6b874c63,1,0.0,14,0,385,0,0,0.03636363636363636,385.0,0
8123d76e6a99b5a95bce01aa61ed22136f69f951,1,0.0,0,1,399,0,0,0.0025062656641604013,399.0,0
3ae3cc0317fa7e7c180189ae3238c55a368be346,1,0.0,10,0,0,0,0,10.0,0.0,0
5229e0ca2c22e823d8d2a1a3f2da0a8ac775e045,1,0.0,60,0,0,0,0,60.0,0.0,0
24a388575ca11d67a84f85ecc267336bea1f19a0,1,0.0,74,5,60,0,0,1.3166666666666669,60.0,0
