hash,NF,ENTROPY,LA,LD,LT,FIX,NBR,RELATIVE_CHURN,RELATIVE_LT,is_buggy
9f93ce9a1bb247d3b1d05f3f825abc39ed304709,1,0.0,8,3,344,1,0,0.03197674418604651,344.0,1
8031ac899efb95f79f01e3f0f3f3f21563e4efb6,2,0.8904916402194913,14,12,960,0,0,0.02708333333333333,480.0,1
dfc19f5189b169699dc8a38f05dae2a49e755f0c,2,0.9986359641585718,12,11,1100,1,0,0.02090909090909091,550.0,1
4eb62df6b9710a693295bb221422dc672e8ec64b,1,0.0,2,0,0,0,0,2.0,0.0,0
999d02f5b5ac49e8b4ca489d2adc307d2626ab2e,9,0.9055974582635004,28,15,1508,1,0,0.028514588859416445,167.55555555555554,1
5ac1a43b239b73e02af7c29bb2a878b08f0b8de4,1,0.0,7,1,156,0,0,0.05128205128205128,156.0,0
83691d67d6a35f1a9994b2319e92d4ce577698b1,1,0.0,0,3,162,0,0,0.018518518518518517,162.0,0
394e1156dc6c5cb81386b48375973225aa9a497f,2,0.9182958340544896,3,3,283,0,0,0.02120141342756184,141.5,0
bc693c94fcc7ccd06e283c08012937c5732c0da3,1,0.0,1,1,3,0,0,0.6666666666666666,3.0,0
57d3da9593dcd2a8f3f8989ac601cf553abaf378,7,0.9080630942453354,15,15,2599,1,0,0.011542901115813776,371.28571428571433,0
121e22ee4ccb46079864d30bda140fffd1622fdf,11,0.8068887380357517,1481,0,0,0,0,1481.0,0.0,1
756f4003fd1b76559178ce8ee8d6da5592830d41,2,0.6892019851173655,15,23,1076,0,0,0.035315985130111534,538.0,0
396f9e3708db83a8704033fe73293322687d6f60,2,0.9910760598382222,9,0,812,0,0,0.01108374384236453,406.0,0
f86c9f8fa6813354e360063e60a839e1070edda9,1,0.0,3,2,536,0,0,0.009328358208955223,536.0,0
d6127fba2c1cee412713c031bdb531b2b4e68a82,6,0.6300846898916911,671,1,162,0,0,4.148148148148148,27.0,1
5009295c6f76e95e13780361bc3e88d639463cdb,6,0.180247126998346,976,30,963,1,0,1.0446521287642785,160.5,1
9cb5febe32a61beac5af85a0957da858fe2168f8,4,0.5099143148615006,71,98,931,0,0,0.1815252416756176,232.75,0
