hash,NF,ENTROPY,LA,LD,LT,FIX,NBR,RELATIVE_CHURN,RELATIVE_LT,is_buggy
fa1bebc8cd27250f6652b8edf717455a8ada0d56,2,0.8767162889994641,26,1,139,0,0,0.1942446043165468,69.5,0
aa7d63842cef6b07447ff3dcf2dca85bac33f41a,1,0.0,0,3,130,0,0,0.02307692307692308,130.0,0
14d4f598bf6f9a643622b4d858c9e46a5948b086,4,0.9609640474436812,4,6,503,0,0,0.019880715705765408,125.75,0
c57a5985360f9e71c4a22fa99f148813bb682393,3,1.0,3,3,285,0,0,0.021052631578947368,95.0,0
9fd1fb54fe630bf98cfe4c9856b1f4868c473bff,7,0.9963066247619432,22,37,682,0,0,0.08651026392961877,97.42857142857143,0
eaff7102bc9ca38cdbf94bbede1e21f338bd99e7,4,0.9751060324573736,3,4,508,0,0,0.013779527559055118,127.0,0
797f86128659da5e8c7f28700941f0780b92e4e8,6,0.967132018086354,8,8,657,1,0,0.0243531202435312,109.5,0
d22ff6289b0080335f195a0e18a877468bc3e652,1,0.0,2,1,89,0,0,0.033707865168539325,89.0,0
ac31c7a3522440b120c91e6077659ba73dd58ce3,1,0.0,1,1,127,0,0,0.015748031496062992,127.0,0
4fdd7cd460f7445e3ab636eb7d178cc936b1c5ad,1,0.0,10,10,92,0,0,0.21739130434782608,92.0,0
62eab98cf372789b624d7b9312f5d010d79b78ca,2,1.0,14,0,0,0,0,14.0,0.0,1
a741583a118c018c245fe425ad50d7953f7a6c1a,2,0.4220005168831531,66,4,33,0,0,2.121212121212121,16.5,1
449517c5111273011081dced4fef5cb4932730cf,1,0.0,20,0,0,0,0,20.0,0.0,0
a6ceb02f97f12830b68f992e4f22756683113e7b,1,0.0,17,16,20,0,0,1.65,20.0,0
14c47b037966fe8565ec5415f06541cc19609759,1,0.0,1,1,21,0,0,0.09523809523809523,21.0,0
74a810174160a314fda304840df2c7273ad6a2fa,1,0.0,12,1,46,0,0,0.2826086956521739,46.0,0
84d0a5dff83f8a879da2e1c909328a4c826178d2,1,0.0,3,2,67,1,0,0.07462686567164177,67.0,1
9b52063279f92f5acc1a8d6ed8292965c742b574,4,0.8698161478643534,21,10,428,0,0,0.07242990654205607,107.0,0
027ef0871731a4c268b497143d32656269de952a,2,0.8497511372532974,26,3,163,0,0,0.17791411042944785,81.5,0
d1d22643bcbcefa80cc512b171979416395e5b87,1,0.0,1,1,163,0,0,0.012269938650306749,163.0,0
cf2b7c097c11d894812b24072ad50fdcadb0f5ac,1,0.0,2,1,110,0,0,0.027272727272727268,110.0,0
e144bd3b7be5ddc5784ceb9a74cd1ff114bf86a4,1,0.0,5,0,61,0,0,0.08196721311475409,61.0,0
f539fa8c600d54dcd0f5f85fa8f9a3c96c2dcfb5,1,0.0,4,2,163,0,0,0.03680981595092025,163.0,0
0d0d4853ac7956250fb600b65335b1168099c771,1,0.0,16,0,66,0,0,0.24242424242424246,66.0,0
8b024eba53b3046457943b2a3b4fdc70a7787068,1,0.0,5,3,82,0,0,0.0975609756097561,82.0,0
48c86267e73002a9296c392ef6d49ce137a42054,1,0.0,2,7,73,1,0,0.1232876712328767,73.0,0
f84cbd0d17a9094bb8987513d4eda3e8d8f9f78a,5,0.7123518470446282,118,43,382,0,0,0.4214659685863874,76.4,1
6fa96f5406807f171cccc477d8167ee13f690c07,3,0.8586727110732549,3,7,294,0,0,0.034013605442176874,98.0,0
b15b36d95593034a58bc47d86069d8f73aec9b2e,2,1.0,6,2,208,1,0,0.038461538461538464,104.0,1
378b56a303391e2af45cdcc778ba98cb233315ef,6,0.9586412745828152,54,31,730,0,0,0.11643835616438356,121.66666666666669,0
a4d7c1dd8e10ed1f3e584455dd6a8589eace5d07,1,0.0,2,2,88,0,0,0.045454545454545456,88.0,0
39674b654595907e02b48ae2762c5b5fc0ff5b90,1,0.0,0,1,87,0,0,0.011494252873563218,87.0,0
0f23045af3e015a1cb4f57fdb497e14bbbcbdb82,1,0.0,1,1,87,0,0,0.02298850574712644,87.0,0
a70746c5944fcf4718bf4a4e1a451c9eb160067e,1,0.0,3,1,84,0,0,0.047619047619047616,84.0,0
7c9a52e87980f8b24e163b7648a8db6b452f5821,3,0.5577757249597035,58,33,423,1,2,0.21513002364066194,141.0,1
72871295324e32209be6b5c0cc757a61fd128755,3,0.7453115759478263,16,4,263,1,1,0.07604562737642585,87.66666666666669,1
16bd2f94b2d21fe116df515a2e7fe5410b34f696,1,0.0,15,2,89,1,1,0.19101123595505615,89.0,0
cb87de1f4c33ba5704b5e9d970efb09650861f2f,1,0.0,1,1,113,1,0,0.017699115044247787,113.0,0
dac5d36f9f11f81410f68e964ce3d18c49934a2d,9,0.7614324600830422,51,28,1048,0,0,0.07538167938931298,116.44444444444444,1
a61c5a8c7f53bf647d6bec13e438f7df3670c2ef,1,0.0,43,19,220,1,1,0.2818181818181818,220.0,1
55111b082dc110bd8a41e36287e0b9f72a02aa9a,1,0.0,58,56,244,1,0,0.4672131147540984,244.0,1
815f93c5f081877bcbf9e09829fc6ed5d101ad28,1,0.0,13,6,246,0,0,0.07723577235772358,246.0,0
6ec0025d799820768cd01097aa662c39d07e0364,1,0.0,18,27,85,0,0,0.5294117647058824,85.0,0
933d245bdcc2438a9ef60152e58811f4d1e0106e,1,0.0,3,2,257,0,0,0.019455252918287938,257.0,0
cc0a1a6163ae596eea94717687683b670b02e0c5,1,0.0,7,1,47,0,0,0.1702127659574468,47.0,0
45e10c266365ad53d3a6e994274aaacb2303f742,1,0.0,1,1,129,0,0,0.015503875968992246,129.0,0
71ede45475c0831a40efba031c36cff0c69f7075,1,0.0,121,0,0,0,0,121.0,0.0,1
586c7f7e57325fbdb26cb1d64e5153aa6a1bd6f1,3,0.8385186556846347,83,86,197,0,0,0.8578680203045685,65.66666666666667,1
844202f0a05a616089ddf1e146351fa69676365d,2,0.8812908992306927,7,3,187,0,0,0.053475935828877004,93.5,1
55d93a93ed58f124fa9ed4388d20f806d4010308,2,0.8631205685666309,1,6,110,0,0,0.06363636363636363,55.0,0
5cc2f0d941ed7cf34092e5083b7a9a189bc84aec,1,0.0,2,1,68,1,0,0.04411764705882353,68.0,0
0a92f93b6ffca77d6fca41d09d8e222d5aeae8ad,2,0.5586293734521992,20,3,154,1,0,0.14935064935064934,77.0,0
