hash,NF,ENTROPY,LA,LD,LT,FIX,NBR,RELATIVE_CHURN,RELATIVE_LT,is_buggy
af9b7d8b57e1ebf4685ad4e0f318823a852612cb,22,0.7365593934342285,1965,0,0,0,0,1965.0,0.0,1
2c09d9663ffa105d4402b0a3f30aa2217f978e39,1,0.0,1,0,219,1,0,0.0045662100456621,219.0,0
126507afa92f812bf6cb3e5ec5d54e6d9a9472da,4,0.5352532098045639,242,176,1020,0,0,0.4098039215686273,255.0,0
ace748be48f7ee0bbb6db2aaace6a1f67cd27512,1,0.0,3,4,71,0,0,0.09859154929577464,71.0,0
9d9472b5d30cf0b10e488c5e6d0a18c8e3adf549,3,0.762686924608583,17,6,982,0,0,0.023421588594704685,327.3333333333333,1
27d787c54862a9ae97e364a48e3caa0631e648e0,1,0.0,28,10,811,0,0,0.0468557336621455,811.0,0
3cff36652bb7f7972d24de730feb3b6ec7cec37f,1,0.0,6,1,811,0,0,0.008631319358816275,811.0,0
9699a7513f81d0a84ef6a4e60e409454d4633ee1,1,0.0,19,8,121,1,0,0.2231404958677686,121.0,0
e3e05e68b018526d0edb1a563349da191e21ef35,1,0.0,1,0,834,0,0,0.001199040767386091,834.0,0
db6914860ea1848f1bcd43245f0ce91f8507ebf2,17,0.8187304292525546,962,1019,1981,0,0,1.0,116.52941176470587,1
ce9d03ac186759969d904d548814819bd3f9b10c,1,0.0,11,4,138,1,0,0.10869565217391304,138.0,0
187fbf5b8051a1b743f234a8c467f64f2fb96752,5,0.923533797902068,39,16,1250,1,0,0.044000000000000004,250.0,0
422576c077a2f7f6f93a5125cadbfde33b090e67,1,0.0,8,1,122,0,0,0.07377049180327869,122.0,0
2c93fcdaabd20f55fe3512dd541b1e3db0de58f4,1,0.0,28,0,122,0,0,0.2295081967213115,122.0,0
d3de236f3506c18a65256a45a36d3c5ce956926d,2,1.0,11,7,916,0,0,0.019650655021834062,458.0,0
8c465354366eef8ebf29467010b63657c065fb55,1,0.0,1,0,150,1,0,0.006666666666666667,150.0,0
14880a79fe107829677b82beeb055834f018704f,2,0.9967916319816366,13,2,911,1,0,0.016465422612513717,455.5,0
4db57034ce76c4004f8c7e010628d21b05341d6d,1,0.0,1,1,772,0,0,0.0025906735751295338,772.0,0
f0ce905bbaf8a9cf58f30f888b8b2937bad12e1f,3,0.8949737146722299,35,46,1123,0,0,0.07212822796081922,374.33333333333326,1
0c7aec51b1376d25ac5541ac4c25d628fb5bb676,2,0.9852281360342516,14,14,950,1,1,0.02947368421052632,475.0,0
8c1090c3c10d3683a58cf8ff89bfc62cdb14848d,4,0.5296013530931869,167,88,1373,1,0,0.18572469045884926,343.25,1
7856b6c2b759ef53d1a3d5a8fb6bcc417c525d2d,2,0.5665095065529053,5,10,130,0,0,0.1153846153846154,65.0,0
c94c03444c44f985ac2dcc67d0a557eea0c8e7f2,3,0.9123658164386856,29,6,1060,0,0,0.0330188679245283,353.33333333333326,0
868cc82fdf315278e2e49b66bf1eb65ba191d114,1,0.0,3,0,899,1,0,0.0033370411568409346,899.0,1
2e9bb6c281eedd8a9d327614e424da60dee57e7f,1,0.0,1,1,902,1,0,0.0022172949002217295,902.0,0
44c09c9c7bb6929ee4b930fda2393d1727c3a7c3,1,0.0,1,1,165,0,0,0.01212121212121212,165.0,0
12f1745d53512f14b11ef1d4ccea96d0c62022d5,1,0.0,2,2,916,0,0,0.004366812227074236,916.0,0
