hash,NF,ENTROPY,LA,LD,LT,FIX,NBR,RELATIVE_CHURN,RELATIVE_LT,is_buggy
045a1d27514912d50484cb6ab8a02bd2665f30dd,2,0.7642045065086203,11,7,380,1,0,0.04736842105263158,190.0,0
4e5c6eaf2b1737942cdc33ebc1f14910589b5798,1,0.0,1,3,45,0,0,0.08888888888888889,45.0,0
5bdce0003d1dd1fa696cfc632ff5fee2c73a553a,4,0.7178979040768625,23,24,421,0,0,0.11163895486935868,105.25,0
95f2643369798f3273cfba2e327fecdf9b9c5ac6,1,0.0,1,2,55,0,0,0.054545454545454536,55.0,0
ca1a1df53e0632a61f9caebc3198755cde53a967,2,0.4689955935892812,17,3,37,0,0,0.5405405405405406,18.5,0
d12591e712d69dfa1191a446cf45d98571ddf098,3,0.7298466991620974,9,1,51,0,0,0.19607843137254904,17.0,0
bd639689ee9b45b6f177e917b03396096ebb4684,2,0.1242874376352318,8,286,369,0,0,0.7967479674796748,184.5,0
899ea4849d56bfa2c8b142e821f8f346f961c671,6,0.9845730307437556,61,11,99,0,0,0.7272727272727273,16.5,1
771107ad3d8da3eb63df4224139d01474223ab89,1,0.0,2,1,22,1,0,0.13636363636363635,22.0,0
18d7b3ad6e07addb77ef60c2e622027ba954c517,1,0.0,1,3,23,0,0,0.17391304347826084,23.0,0
5a023a538ace95823792f7fe2682436f0b4bfce7,4,0.6746097984802105,109,1,114,0,0,0.9649122807017544,28.5,1
c7da7804ff27ac05970a1125cd621b10b767b2f6,2,1.0,11,11,43,0,0,0.5116279069767442,21.5,0
9c80e462719eba71059850f9a63770de5430c99d,1,0.0,4,3,79,1,0,0.08860759493670886,79.0,0
8f7916a3a837173eff589eb39634c7a963fb33f6,1,0.0,3,1,83,0,0,0.04819277108433735,83.0,0
f2cfc59281073b9dc05a38af320c5ea21af816aa,1,0.0,39,0,0,0,0,39.0,0.0,0
3001bce457943e89af990198a94e1b933e969174,2,0.7219280948873623,0,5,105,0,0,0.047619047619047616,52.5,0
f6038f27b424b922b8d9ab99c3af40fac0faf815,5,0.6569378268237488,68,1,207,0,0,0.3333333333333333,41.4,1
45cd3fcd60b9093d4a7dd1ad6167f23964861631,3,0.9969607920234056,20,10,159,0,0,0.18867924528301888,53.0,1
6a3d4e24627e014137b780a2457e702201acaffb,2,0.3227569588973983,1,33,136,0,0,0.25,68.0,0
a7e5f657efbd7a60b56bf8be73816401e0022ac1,3,0.7707550879940835,193,0,0,0,0,193.0,0.0,1
597a00acce52709d0194a0a6bcdba4c869a052a6,2,0.9922666387194964,11,18,173,0,0,0.1676300578034682,86.5,1
21d1cfe45d6e8a5f876e6189cfd9f52b8ccfbf90,1,0.0,19,7,121,0,0,0.21487603305785125,121.0,1
18a088f557b926db9df7b55224afea47130321a4,2,0.8631205685666309,6,1,125,0,0,0.055999999999999994,62.5,0
907c6f4984df12d2335f60f1eb9985b7b87a69a3,13,0.9058822799070291,51,54,737,1,0,0.14246947082767975,56.69230769230769,0
e983a9df3aa42b044a7872235df19e147ce19120,7,0.914132273582144,22,42,451,0,0,0.1419068736141907,64.42857142857143,0
310d448347df5a50c4bfe519d26bf90d6eb63107,22,0.800506820051038,321,156,872,0,0,0.5470183486238532,39.63636363636363,1
916414d2fbe40f24c01cd1963bd79bc97bed601e,6,0.7674253061237504,28,40,360,0,0,0.18888888888888888,60.0,1
03321ca14e7e54ecd1c7b96d623b28c9ee655c4d,1,0.0,4,2,69,0,0,0.08695652173913042,69.0,0
526ea16785270074f088860fcf8446779aa54a8b,10,0.8990074607781744,134,11,586,0,0,0.24744027303754265,58.6,1
4115f72939ac3d244499d18a5da6ea4951f7409f,1,0.0,1,2,97,0,0,0.030927835051546393,97.0,0
32bf06e47ba240ffb25239262e049b627ce4bc5c,3,0.463436782324667,24,4,197,0,0,0.14213197969543148,65.66666666666667,0
846a55129dab110e2b850672ca78cdb51f2c3408,17,0.88451251766662,44,68,806,0,0,0.13895781637717122,47.411764705882355,1
ab2b8504bcd15538c898758761cf37a981e0107f,1,0.0,1,1,47,1,0,0.0425531914893617,47.0,1
1976587aadb9d56871616a242b89219b679abda4,2,0.5617526078313282,49,27,205,0,0,0.3707317073170732,102.5,1
f0842997e6e643b4605ff2b8a2e01a183e35bc41,1,0.0,8,4,147,0,0,0.08163265306122447,147.0,1
ba1f49d17ca3baf9bce3531712d81485ff3a380f,2,0.9910760598382222,11,7,128,0,0,0.140625,64.0,0
a3000e64c24cec9a243902ad3691b3e028f9b391,4,0.8263731771304053,108,0,206,0,0,0.5242718446601942,51.5,0
cf154c4a7289eb20f4c9037f0454a9914308f16e,1,0.0,3,2,71,0,0,0.07042253521126761,71.0,0
9de78f6029c507728da15e9df34b01389851b62a,1,0.0,5,5,43,0,0,0.2325581395348837,43.0,0
e15729f7c3063837cce53d04abd3d659d73653b3,2,0.16082302082246938,81,4,99,0,0,0.8585858585858586,49.5,1
82d9289031387acae0d22414d8612d79f39b8f63,1,0.0,45,0,0,0,0,45.0,0.0,0
6ccb7508ec1a8561c69ced8aa74c4ed03419cc14,3,0.4126578287806518,11,22,172,1,0,0.19186046511627908,57.33333333333334,0
f2d4a9b6ef7f4a70829899659ac75eb89bc71a04,3,0.8649735207179271,5,5,161,0,0,0.06211180124223601,53.66666666666666,0
7bf0717235fad19c52b3f7212adaf6f9626ff8aa,1,0.0,5,6,82,0,0,0.13414634146341464,82.0,0
9e37238dec2684794049b237a79870a0f7c96e9a,3,0.7896900821428474,19,5,160,0,0,0.15,53.33333333333334,0
a40cac0e7f5cb0a1a9477c6d1b467c8d39bd6344,3,0.4126578287806518,11,22,172,1,0,0.19186046511627908,57.33333333333334,0
4c76ee0b5587cdd33a5108326567e2d4ddbac6cb,3,0.8649735207179271,5,5,161,0,0,0.06211180124223601,53.66666666666666,0
615cba014222622e493af34b07d04a140ad32dde,1,0.0,5,6,82,0,0,0.13414634146341464,82.0,0
c1b7453a6930206e3888314b7f2ea040830faeda,3,0.7896900821428474,19,5,160,0,0,0.15,53.33333333333334,0
eeef918ed9c595a6843226be24d43ddd96ae5546,1,0.0,37,37,118,0,0,0.6271186440677966,118.0,0
66f9b5bb0201c8c4059af09a004db4cf47d7929f,1,0.0,19,1,38,1,0,0.5263157894736842,38.0,0
941b504c1e7d886ef739840dc965a90453316333,2,0.7871265862012691,49,2,131,0,0,0.3893129770992366,65.5,1
c2e7c4299d766602ba8d37f261e3c4d61a419d75,1,0.0,1,9,39,1,0,0.2564102564102564,39.0,0
67be5984ae28fec04db7758d120c8621951360ca,5,0.7457944065732065,135,11,195,0,0,0.7487179487179487,39.0,1
f1095c17743edb1115bd559d9f50883352bf64f4,1,0.0,44,0,0,0,0,44.0,0.0,1
15574a6da7d9dbecb02b9ea3a77f6cbae100f0d1,1,0.0,0,44,44,0,0,1.0,44.0,0
790b992d26e0af0072119181c44979a64fd8e220,11,0.9800611311860594,80,156,784,0,0,0.3010204081632653,71.27272727272727,1
b88970c72270bbf77c76470811931462c84b7adb,1,0.0,2,6,96,0,0,0.08333333333333333,96.0,0
b95e06ddc19717efa895c3b04d8ab4210beb6051,1,0.0,1,1,92,0,0,0.021739130434782608,92.0,0
b00e67f5d2da46b4c322ecc3f2f05e8ca7580690,12,0.8899222520377442,62,74,901,0,0,0.1509433962264151,75.08333333333333,1
85080e7d0cf09587430109ae90499ffc8f43433e,1,0.0,3,3,47,1,0,0.1276595744680851,47.0,0
02cf649662fa6144e2ecb836740ac6cfc4f7d307,1,0.0,2,1,33,0,0,0.09090909090909093,33.0,0
5ef075cb2c8fa591bd0dc1f59d7048d286c9d13a,2,0.1792560669283215,73,1,47,0,0,1.574468085106383,23.5,1
