hash,NF,ENTROPY,LA,LD,LT,FIX,NBR,RELATIVE_CHURN,RELATIVE_LT,is_buggy
9c1f6f62ccc637c6eff41c40fd8644e2503d96df,16,0.7857484671900054,517,0,0,0,0,517.0,0.0,1
e924afdd347e87469f48ea795f88e4567accdb2f,9,0.6545402309937032,142,3,441,0,0,0.3287981859410431,49.0,1
cd032097886038df64e1562f5dcc4bfa6e003296,5,0.5021233047471187,41,1,318,0,0,0.1320754716981132,63.6,1
552bb5fa867738df3c998a69c841ea959d7aa1ff,1,0.0,1,0,57,0,0,0.017543859649122806,57.0,0
2b525a100aea9eba1267b87be52aa8c8264d8693,4,0.7633636091324549,333,81,446,0,0,0.9282511210762332,111.5,0
9ca4d55aac24a206bd1dc5bac3371dac63850a48,13,0.9088889946004802,28,183,885,0,0,0.2384180790960452,68.07692307692308,0
097041650c1fb642c33e9dc33dbf1cce87e97381,1,0.0,7,2,51,1,0,0.17647058823529413,51.0,0
f24dc2c81037bd109b44d3ee8463efec498bf51f,3,0.9533693204629444,84,222,644,0,0,0.4751552795031056,214.66666666666663,1
6b47d5f1eebcf13704279660ea7c4cc5cbb77359,1,0.0,5,4,211,1,0,0.04265402843601896,211.0,0
db82a729e39e0796c7a1acf5ecd1521cf3178076,4,0.7091479170272448,20,4,535,0,0,0.04485981308411215,133.75,0
6ee10e7a60f9522800ec5409e400a73bc11dac38,4,0.6688163185073611,359,312,523,0,0,1.282982791586998,130.75,1
990c4e9f00db1c069b2d4323f0270bb0a218eb8d,1,0.0,108,0,0,0,0,108.0,0.0,0
9f6156c06a64929e8628ac528d6699d3b92f49f0,1,0.0,1,0,108,0,0,0.009259259259259259,108.0,0
7c026ae58b1a73f80fe36be6caa7ef7854e61e30,4,0.8840783852929166,95,0,0,0,0,95.0,0.0,0
2db48dae33c8c1d38b4255c91b4327db73bcdcd6,3,0.9466292053905252,46,78,90,0,0,1.3777777777777778,30.0,0
a55d7d7c1a290a1437d9cb075af21ccd5ec7118b,2,0.8112781244591328,16,0,0,0,0,16.0,0.0,0
9927c1c76cd47cefdf22f5066e44a4c0aa58c6cd,2,0.7793498372920852,8,5,16,0,0,0.8125,8.0,0
be4d6ec80889b521d2ac0427f6005b7bafe73f7e,2,0.6292492238560345,26,12,19,0,0,2.0,9.5,0
ed9cca7bf055a40bb3095755b8630f9b3b37df24,1,0.0,1,0,33,0,0,0.030303030303030307,33.0,0
c8baac379e20b2fba4904eadcdb7543311a0239f,1,0.0,2,1,34,0,0,0.08823529411764706,34.0,0
f525d77ca570fc99e55ea9379c899e95effb7a2e,1,0.0,11,0,0,0,0,11.0,0.0,0
a7617e3538312eead12985840279e0b8a9cf2ece,2,0.8960382325345575,11,5,5,0,0,3.2,2.5,0
334639adcd5ee89013bf6f6186fd3119ce84e3d3,1,0.0,10,10,11,0,0,1.818181818181818,11.0,0
a1ad1b97645d9b78bade5f437140dace05858134,1,0.0,10,0,0,0,0,10.0,0.0,0
b180a0b115e68b3c23890b525571f98af9630308,9,0.5013244269194806,521,14,105,0,0,5.095238095238095,11.666666666666664,1
a7c4bcf33092c548dd2c6992869a5788753861e1,1,0.0,1,1,35,0,0,0.057142857142857134,35.0,0
d66aafee02747f737d0f31b729e2c80cedf76bdc,1,0.0,10,1,12,0,0,0.9166666666666666,12.0,0
516643d2136f2c80bf8fcb5a0f1d59a219ba961a,5,0.9815069814404956,20,13,479,0,0,0.06889352818371608,95.8,0
fe2728505e57cba30027ae54395efe59ddb2ea89,2,0.9244571409964928,36,17,83,0,0,0.6385542168674698,41.5,0
5698924c217b2215cbfea2201b5f2479f1b8b91a,2,0.027014133895136627,1,368,386,0,0,0.955958549222798,193.0,0
2e80d5136f310dcfb58600fca1e5b79a6ca818ca,2,0.8453509366224365,5,6,84,0,0,0.13095238095238096,42.0,0
e7e548cd6eca465a57e0b7305cdd1e1c2a74c469,1,0.0,73,1,3,0,0,24.66666666666667,3.0,1
3946f90b8268c18fdf935e982354c5039555f44e,2,0.9709505944546686,4,1,75,0,0,0.06666666666666668,37.5,1
988b5e9c57f5c00e3462e5e51da6e2b88eaf29e9,1,0.0,5,1,3,0,0,2.0,3.0,1
d21cf6820a592c9fbf20f5eacb878e8ead571445,1,0.0,2,0,21,0,0,0.09523809523809523,21.0,0
3c5a6d74c6a9c287b44990545d91fc590506bca4,2,0.5225593745369408,13,4,113,0,0,0.1504424778761062,56.5,0
4aaa12d2e914ef8bb490c2936c0991bd4db95021,1,0.0,1,1,23,1,0,0.08695652173913042,23.0,0
8566f95dabe60496ff4d59b7db747d47f4b3893d,1,0.0,1,1,23,0,0,0.08695652173913042,23.0,0
6ac65402ce977b9bad72d21d2a1382ecbef0296e,4,0.793547331069562,92,2,183,0,0,0.5136612021857924,45.75,0
4578029eee1032ac1a65c1361e5ce41d3bfc5c3f,1,0.0,1,1,23,0,0,0.08695652173913042,23.0,0
c1cbaa2bf885993203eecd1d33be76b006859bea,2,0.6840384356390417,4,7,181,0,0,0.06077348066298342,90.5,0
5275260d3fdbfe83bae314151d4117d91a38f3cd,5,0.9659810131368828,110,0,0,0,0,110.0,0.0,0
75a2b87e296db58201909faf1b11e82e8e043d5b,2,0.4220005168831531,1,34,97,0,0,0.3608247422680412,48.5,0
5198efed8086b4bc6daa9967c51085e2ad8725b0,1,0.0,1,1,23,0,0,0.08695652173913042,23.0,0
a131e88d5c0df4d43694520c801b8ab09d420d73,11,0.7945769275143488,107,8,746,0,0,0.15415549597855227,67.81818181818181,0
429ee9d31ac3b482ade9dbd9debafc542bec9312,8,0.8399646845815549,15,94,268,0,0,0.40671641791044777,33.5,0
cffa09037e09b22345827e979b4c62a1c939db4d,8,0.8919672274203119,145,0,0,0,0,145.0,0.0,0
12ca56bd0449447213d1db2e5693752ce5aed05a,2,0.5713549744279548,32,5,5,0,0,7.4,2.5,0
f324eac63c201a508be2e8d60702595b9fceec77,2,0.9852281360342516,28,0,0,0,0,28.0,0.0,0
a0b8ecc1495e9da31ffb80cb6f70bdc5b50f18b7,2,0.9440870182837796,47,0,16,0,0,2.9375,8.0,0
b1c8b2bac07cca8ad3e750fb3d7e9d15ee2487c3,3,0.9389879670318446,27,1,299,0,0,0.09364548494983277,99.66666666666669,0
bfd72bfb8cbc930b29d7f2cf9bdc0f0a9ada162c,3,0.9776808729020371,17,8,481,0,0,0.05197505197505198,160.33333333333334,0
1672939e0f66d4597a17de563dceae7fc6641846,9,0.8249143207139137,99,55,410,0,0,0.37560975609756103,45.555555555555564,0
0ecb2c806f3908851334f2440814c3168f32e665,1,0.0,5,1,23,0,0,0.2608695652173913,23.0,0
055a7341a5755a57c8a079c4f29ce1c74be81b99,1,0.0,1,1,27,0,0,0.07407407407407407,27.0,0
dfc73c8d77665d3e694008aea8f7e687dd7affcd,5,0.8694083544376803,85,7,445,0,0,0.20674157303370785,89.0,0
2602657ed33bc72527c84216c87e81114e2815e2,2,0.8904916402194913,12,1,46,0,0,0.2826086956521739,23.0,0
ed163279427d7744f8d90c5d38a1777b7e6e6c16,6,0.9570643787757752,91,33,96,0,0,1.2916666666666667,16.0,0
41770883ddf7395b9528530fb81b5b62061ad20a,1,0.0,1,1,27,0,0,0.07407407407407407,27.0,0
44e70d11f998410e2fb016fcda86374352466b50,1,0.0,4,7,126,0,0,0.0873015873015873,126.0,0
863b600958f64e673b613c6fea33e72d125fda3d,8,0.6895241262502211,280,2,341,0,0,0.8269794721407625,42.625,0
2b622928336adecf36e55659245279e7a8b3eb6b,4,0.8666095307572397,74,3,203,0,0,0.3793103448275862,50.75,0
c786aee1874d823ced81ce91a2de7df6f10927b5,1,0.0,8,33,123,0,0,0.3333333333333333,123.0,0
473fe2195bd250847ded87ef13b1552908f653c3,1,0.0,14,6,98,0,0,0.20408163265306126,98.0,0
976d91f72e4cc0a1894303bf02be6c50cb80b2ad,1,0.0,14,0,0,1,0,14.0,0.0,0
a8b0c6bb06df3a770af9225320af49c2a4991c5c,3,0.5382350679280823,149,11,162,0,0,0.9876543209876544,54.0,0
55f28fe6a3fb2991d10b49e89b10c9487f2bd8cc,1,0.0,1,0,106,0,0,0.009433962264150943,106.0,0
8f1647fe09e5a8193db23fa5c8316a4eef1be9e0,4,0.5785520656218894,92,35,301,0,0,0.4219269102990033,75.25,0
e49aafc63eaa0e7437b547c1b1ae1e01f5346c1a,7,0.6902584755370577,168,73,874,0,0,0.2757437070938215,124.85714285714286,0
6229c13c2672391fe16004ddaf3c2c5c380f246a,7,0.871229794888414,88,27,537,0,0,0.21415270018621974,76.71428571428571,1
5a7d80022dc4bf2733074edb0649c24310e7b134,1,0.0,1,0,88,0,0,0.011363636363636364,88.0,0
ac9e3509efdae985c5f2373457242efbe1dd6d80,2,0.9182958340544896,2,1,114,0,0,0.02631578947368421,57.0,0
66e80eb56b12f90e63b704516af6136ab49651f4,1,0.0,50,10,124,0,0,0.4838709677419355,124.0,0
a64637eb78791beb645d2673c499c749deba0d69,1,0.0,13,6,80,0,0,0.2375,80.0,0
e7ed43ebf11b29ac74765199fee592991d25325f,1,0.0,1,1,87,1,0,0.02298850574712644,87.0,0
f18ec9367cde474bb167b102ac9b5851f029dec2,6,0.5780897958305007,75,68,791,0,0,0.18078381795195955,131.83333333333334,1
dbcb79f5c5ef819c849cac73393574607b7ac198,1,0.0,1,1,306,1,0,0.006535947712418301,306.0,0
e1b1048bb558a0e76a8515f36a56dcc5c356876a,2,0.3227569588973983,25,9,170,0,0,0.2,85.0,0
dc3d1a45b299f616fa9c793ca1f6b866cd73d7f5,1,0.0,7,0,53,0,0,0.1320754716981132,53.0,0
605aa7908729ef40ab14a696c98c28108b4ec388,2,0.2462757931852935,355,12,88,0,0,4.170454545454546,44.0,0
a8dd96c6360c39f55ec0d7fd4f8051bbbf3b7597,4,0.9333067202103686,83,39,145,0,0,0.8413793103448276,36.25,1
d342f5b92cdf8c2c773dc90546609e72ab6fa1dd,1,0.0,7,0,0,0,0,7.0,0.0,0
a04be91f934b5b193a07afe6e0282f0b36cdd4ac,2,1.0,14,0,0,0,0,14.0,0.0,0
40296025a607a99065e5250a246731b021df0f28,1,0.0,1,1,27,0,0,0.07407407407407407,27.0,0
522d5aefddf2c21f48b9da1e2874e37b082b4928,1,0.0,1,1,27,0,0,0.07407407407407407,27.0,0
7469ad30a67822893af7292f3bdbb2c2a9446f87,6,0.7461270435816628,92,8,261,0,0,0.3831417624521073,43.5,0
03c3712eb4d62ed3d9397d7a4aa2c0d933297748,2,0.783776947484701,24,6,147,0,0,0.20408163265306126,73.5,0
f81022c60532447dfac31de34c9bbf2a9ca1bc9f,6,0.7322673181360732,155,14,294,0,0,0.5748299319727891,49.0,1
751b862dcf4873da7b5764a8c2a97a7715cae010,1,0.0,1,1,29,1,0,0.06896551724137931,29.0,0
